model_key,model,condition,patient_id,repetition,run,prompt_tokens,completion_tokens,total_tokens,estimated_cost
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,1,1,396,230,626,0.0002504
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,2,1,650,132,782,0.0003128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,5,1,1412,134,1546,0.0006184000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,10,1,2682,138,2820,0.001128
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,16,1,4206,138,4344,0.0017376
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_01,32,1,8270,138,8408,0.0033632000000000007
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,1,1,340,177,517,0.0002068
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,2,1,538,154,692,0.0002768
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,5,1,1132,112,1244,0.0004976
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,10,1,2122,112,2234,0.0008936
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,16,1,3310,117,3427,0.0013708000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_02,32,1,6478,112,6590,0.002636
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,1,1,353,149,502,0.0002008
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,2,1,564,149,713,0.0002852
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,5,1,1197,136,1333,0.0005332000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,10,1,2252,136,2388,0.0009552000000000001
llama70b,meta-llama/Meta-Llama-3.1-70B-Instruct,redundancy,patient_03,16,1,3518,136,3654,0.0014616000000000002
